broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,634,ကမောင်,kaˀ-mòŋ ,กะ-โม่ง ,,,adj,แข็งแรง,adj,มีเรียวแรงดี,,,,,,,,,,,,,,,
,635,ကမောံဗှ်,kaˀ-mòm-pòh ,กะ-โม่ม-โป่ฮ ,,,n,ชื่อเรียกส่วนประกอบของเจดีย์คล้ายทรงบัวตูม,,,,,,,,,,,,,,,,,
,636,ကမြဴ,kɒm-rɛ̀a ,กอม-เรีย ,kɒm-rao,กอมราว,v,ประกาศ,,,,,,,,,,,,,,,,,
,637,ကယ,kaˀ-jɛ̀ˀ ,กะ-เยี่ยะ ,,,n,ความพ่ายแพ้,,,,,,,,,,,,,,,,,
,638,ကယဝ်,kaˀ-jòw ,กะ-โย่ว ,,,n,ต้นสักกะเมือวา,v,เข็ดหลาบ,,,,,,,,,,,,,,,
,639,ကယဟ်,kaˀ-jòh ,กะ-โย่ฮ ,,,n,โจทย์เลข,,,,,,,,,,,,,,,,,
,640,ကယာင်,kaˀ-ja̤ŋ,กะ-ย่าง ,,,n,บ่วงบาศก์,n,สังกรณี,,,,,,,,,,,,,,,
,641,ကယု,Kaˀ-juˀ,กะ-ยุ่ ,kaˀ-jaò ,กะ-เย่า,n,หนอน,,,,,,,,,,,,,,,,,
,642,ကယူ,Kaˀ-jù,กะ-ยู่ ,kaˀ-jao ,กะ-เยา,v,จองหอง,,,,,,,,,,,,,,,,,
,643,ကယေက်,kaˀ-jɛ̀ˀk,กะ-เยี่ยก ,,,v,จี้,,,,,,,,,,,,,,,,,
,644,ကယောင်,Kaˀ-jòŋ,กะ-โย่ง ,,,v,ทอดหรือวางเหรียญให้เกิดเสียง (มักใช้ในพิธีฉลองสร้างพระ),,,,,,,,,,,,,,,,,
,645,ကယောဝ်,Kaˀ-jòw,กะ-โย่ว ,,,v,เอื้อม,v,เขย่งเท้าขึ้นหยิบ,,,,,,,,,,,,,,,
,646,ကယဴ,kaˀ-jɛ̀a,กะ-เยีย ,kaˀ-jao ,กะ-เยา,n,ตะกอ,n,อุปกรณ์ทอผ้าชนิดหนึ่ง,,,,,,,,,,,,,,,
,647,ကရတ်,kaˀ-ròt ,กะ-ร่ด ,,,n,ทางลัด,,,,,,,,,,,,,,,,,
,648,ကရန်,kaˀ-ròn ,กะ-ร่น ,,,adj,หยิก,,,,,,,,,,,,,,,သော်ကရန်,adj,ผมหยิก
,649,ကရာန်,kaˀ-ra̤n ,กะ-ร่าน ,,,n,ตะใบ,n,ขอช้าง,n,พืชชนิดหนึ่งที่มีหนามขึ้นอยู่ตามบึงหนอง,,,,,,,,,,,,,
,650,ကရာတ်,kaˀ-ra̤t ,กะ-ร่าด ,,,n,แปรงทำด้วยผลเตยใช้ในการทอผ้า,v,กระเซ็น,,,,,,,,,,,,,,,
,651,ကရာပ်,kaˀ-rèp ,กะ-เร่บ ,,,v,ไม้ปิ้งปลา,v,ไม้ตับ,,,,,,,,,,,,,,,
,652,ကရိကနာ,kaˀ-rìˀ-kaˀ-nɛ̀a ,กะ-ริ่-กะ-เนีย ,kaˀ-rɔɪ-kaˀ-na ,กะ-รอย-กะ-นา,v,ทำพอเป็นพิธี,v,ทำเอาเคล็ด,,,,,,,,,,,,,,,
,653,ကရဳ,kaˀ-rì ,กะ-รี่ ,,,n,การกระทำ,n,สัญญา,,,,,,,,,,,,,,,
,654,ကရဳကရောတ်,kaˀ-rì-kaˀ-ròt ,กะ-รี่-กะ-โร่ด ,kaˀ-raɪ-kaˀ-ròt  ,กะ-รอย-กะ-โรด,v,ร่ำให้,v,โอดครวญ,,,,,,,,,,,,,,,
